Affinity  , # nodes   , time                
4         , 524288    , 84.366943           
4         , 524288    , 81.998779           
4         , 524288    , 85.487061           
4         , 524288    , 83.903076           
4         , 524288    , 82.620850           
4         , 524288    , 92.291992           
4         , 524288    , 86.744141           
4         , 524288    , 79.280762           
4         , 524288    , 78.013184           
4         , 524288    , 80.365967           
4         , 524288    , 84.818115           
4         , 524288    , 78.420898           
1         , 1048576   , 59.410889           
1         , 1048576   , 60.511230           
1         , 1048576   , 60.085938           
1         , 1048576   , 59.979980           
1         , 1048576   , 60.335693           
1         , 1048576   , 61.859863           
1         , 1048576   , 61.967041           
1         , 1048576   , 59.805176           
1         , 1048576   , 59.853027           
1         , 1048576   , 60.502197           
1         , 1048576   , 60.781006           
1         , 1048576   , 61.372070           
1         , 1048576   , 59.721191           
1         , 1048576   , 60.427734           
1         , 1048576   , 58.994873           
1         , 1048576   , 63.101074           
1         , 1048576   , 60.102051           
1         , 1048576   , 61.030029           
1         , 1048576   , 58.599121           
1         , 1048576   , 61.798096           
1         , 1048576   , 61.410156           
1         , 1048576   , 61.330811           
1         , 1048576   , 63.633057           
1         , 1048576   , 61.714111           
1         , 1048576   , 59.616943           
2         , 1048576   , 64.624268           
2         , 1048576   , 67.356934           
2         , 1048576   , 63.311768           
2         , 1048576   , 65.515137           
2         , 1048576   , 69.213135           
2         , 1048576   , 70.610840           
2         , 1048576   , 67.079102           
2         , 1048576   , 68.486816           
2         , 1048576   , 66.686768           
2         , 1048576   , 65.276123           
2         , 1048576   , 66.181885           
2         , 1048576   , 67.079834           
2         , 1048576   , 65.752930           
2         , 1048576   , 66.069824           
2         , 1048576   , 65.364746           
2         , 1048576   , 66.694092           
2         , 1048576   , 63.256104           
2         , 1048576   , 63.698975           
2         , 1048576   , 68.346924           
2         , 1048576   , 62.426025           
2         , 1048576   , 62.274170           
2         , 1048576   , 61.964844           
2         , 1048576   , 62.072998           
2         , 1048576   , 62.852051           
2         , 1048576   , 62.614746           
3         , 1048576   , 86.586914           
3         , 1048576   , 91.480957           
3         , 1048576   , 91.746094           
3         , 1048576   , 87.778076           
3         , 1048576   , 87.198975           
3         , 1048576   , 89.370117           
3         , 1048576   , 91.221924           
3         , 1048576   , 90.186035           
3         , 1048576   , 93.759033           
3         , 1048576   , 91.353760           
3         , 1048576   , 92.013916           
3         , 1048576   , 92.263916           
3         , 1048576   , 91.842773           
3         , 1048576   , 91.836426           
3         , 1048576   , 90.258789           
3         , 1048576   , 88.595703           
3         , 1048576   , 91.639893           
3         , 1048576   , 90.974121           
3         , 1048576   , 88.532959           
3         , 1048576   , 90.333984           
3         , 1048576   , 86.415039           
3         , 1048576   , 85.686035           
3         , 1048576   , 84.021973           
3         , 1048576   , 84.020996           
3         , 1048576   , 81.119629           
4         , 1048576   , 102.202881          
4         , 1048576   , 100.868164          
4         , 1048576   , 103.104004          
4         , 1048576   , 107.729004          
4         , 1048576   , 112.541016          
4         , 1048576   , 110.195068          
4         , 1048576   , 107.618164          
4         , 1048576   , 113.683105          
4         , 1048576   , 109.264893          
4         , 1048576   , 109.332031          
4         , 1048576   , 112.890137          
4         , 1048576   , 112.596924          
4         , 1048576   , 110.953125          
4         , 1048576   , 110.248291          
4         , 1048576   , 109.157959          
4         , 1048576   , 105.349121          
4         , 1048576   , 105.541992          
4         , 1048576   , 109.474121          
4         , 1048576   , 110.833008          
4         , 1048576   , 112.003906          
4         , 1048576   , 115.907959          
4         , 1048576   , 112.031006          
4         , 1048576   , 115.301025          
4         , 1048576   , 112.973877          
4         , 1048576   , 111.400879          
1         , 2097152   , 136.477783          
1         , 2097152   , 129.967041          
1         , 2097152   , 132.108887          
1         , 2097152   , 130.537109          
1         , 2097152   , 131.738037          
1         , 2097152   , 133.693848          
1         , 2097152   , 132.357910          
