Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 35.906982           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 45.090820           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 44.297119           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 39.100830           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 29.299805           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 35.529785           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 30.031982           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 31.750977           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 26.914795           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 29.115967           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 27.929688           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 28.316162           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 48.177979           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 36.510010           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 25.361084           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 35.166016           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 28.935059           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 35.405029           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 33.321777           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 32.262939           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 31.393066           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 27.433105           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 34.658936           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 28.941162           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 33.470215           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 26.490967           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 28.183838           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 32.918945           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 32.635986           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 30.900879           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 29.372070           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 29.266113           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 32.315186           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 29.136719           
32        , 1.000000            , 1         , 20        , 32                  , 1         , 30.602783           
